"",,,,"Total population (1000 inhab)",,,,"Population density (inhab/km2)",,,,"GDP per capita (current US$/inhab)",,,,"Agriculture, value added to GDP (current US$)",,,,"Industry, value added to GDP (current US$)",,,,"Services, value added to GDP (current US$)",,,,"Total internal renewable water resources per capita (m3/inhab/yr)",,,,"Total renewable water resources (10^9 m3/yr)",,,,"Agricultural water withdrawal (10^9 m3/year)",,,,"Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,,"Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,,"Total water withdrawal (10^9 m3/yr)",,,,"Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,"Total freshwater withdrawal (10^9 m3/yr)",,,,"SDG 6.4.2. Water Stress (%)",,,,"SDG 6.4.1. Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,,"SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,,"Total population with access to safe drinking-water (JMP) (%)",,,,"Rural population with access to safe drinking-water (JMP) (%)",,,,"Urban population with access to safe drinking-water (JMP) (%)",,
"2018-2022","Algeria","Africa | Northern Africa",2018,42228.408,"X",,2018,17.7300588099,"E",,2018,4136.289853,"X",,2018,2.0815001942E10,"X",,2018,6.6851758473E10,"X",,2018,8.0175795524E10,"X",,2018,266.3372959738,"E",,2018,11.667,"E",,2018,6.671,"I",,2018,0.191,"I",,2018,3.6,"I",,2018,10.462,"I",,2018,247.747914153,"E",,2018,9.802,"I",,2018,137.9203602082,"E",,2018,14.4631981583,"E",,2018,0.6193799933,"E",,2018,350.3771026227,"E",,2018,22.2944634989,"E",,2018,83.6,"I",,2018,81.8,"I",,2018,84.3,"I",
"2018-2022","Egypt","Africa | Northern Africa",2018,98423.598,"X",,2018,98.2810904189,"E",,2018,2513.199691,"X",,2018,2.8034561724E10,"X",,2018,8.2067488367E10,"X",,2018,1.33824E11,"X",,2018,10.160165045,"E",,2018,57.5,"E",,2018,61.35,"I",,2018,5.4,"I",,2018,10.75,"I",,2018,77.5,"I",,2018,787.4127909853,"E",,2018,77.5,"E",,2018,141.1657559199,"E",,2018,4.5843923485,"E",,2018,0.6655864962,"E",,2018,22.1361801562,"E",,2018,18.1322141973,"E",,2018,99.4,"I",,2018,99.0,"I",,2018,100.0,"I",
"2018-2022","Libya","Africa | Northern Africa",2018,6678.559,"X",,2018,3.7956278345,"E",,2018,5312.471944,"X",,2018,2.735459115E8,"X",,2018,2.0018765353E10,"X",,2018,1.0168513509E10,"X",,2018,104.8130292777,"E",,2018,0.7,"E",,2018,4.85,"I",,2018,0.28,"I",,2018,0.7,"I",,2018,5.83,"I",,2018,872.9428009845,"E",,2018,5.72,"I",,2018,817.1428571429,"I",,2018,4.2870716046,"I",,2018,0.0184977034,"E",,2018,58.9824613673,"E",,2018,11.9840348719,"E",,2018,71.2,"I",,2018,68.3,"I",,2018,72.1,"I",
"2018-2022","Morocco","Africa | Northern Africa",2018,36029.093,"X",,2018,80.6832224835,"E",,2018,3258.233846,"X",,2018,1.4460741415E10,"X",,2018,2.7590578963E10,"X",,2018,6.1944348562E10,"X",,2018,804.9050804582,"E",,2018,29.0,"E",,2018,9.156,"I",,2018,0.212,"I",,2018,1.063,"I",,2018,10.431,"I",,2018,289.5160308365,"E",,2018,10.573,"I",,2018,50.7512120194,"E",,2018,8.7158687975,"I",,2018,0.4328999353,"E",,2018,126.3892167615,"E",,2018,56.5917983685,"E",,2018,85.4,"I",,2018,65.3,"I",,2018,98.7,"I",
"2018-2022","Tunisia","Africa | Northern Africa",2018,11565.201,"X",,2018,70.6876168938,"E",,2018,3421.77736,"X",,2018,3.905260871E9,"X",,2018,9.038391312E9,"X",,2018,2.4435025524E10,"X",,2018,362.726077999,"E",,2018,4.615,"E",,2018,2.9326,"",,2018,0.04588,"",,2018,0.86622,"",,2018,3.8447,"",,2018,332.436937326,"E",,2018,3.78072,"",,2018,95.9987812,"E",,2018,10.220136893,"I",,2018,0.2722012162,"E",,2018,226.5547495555,"E",,2018,32.4406861029,"E",,2018,97.7,"I",,2018,93.2,"I",,2018,100.0,"I",
"2018-2022","Benin","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,11485.044,"X",,2018,100.078807947,"E",,2018,906.489003,"X",,2018,2.315752864E9,"X",,2018,2.124659903E9,"X",,2018,4.999366962E9,"X",,2018,896.818505876,"E",,2018,26.39,"E",,2018,0.059,"I",,2018,0.03,"I",,2018,0.145,"I",,2018,0.234,"E",,2018,20.3743233374,"E",,2018,0.13,"I",,2018,0.975243811,"E",,2018,28.3840545439,"I",,2018,0.325075885,"E",,2018,65.8380559326,"E",,2018,32.0520524694,"E",,2018,77.9,"I",,2018,72.1,"I",,2018,85.2,"I",
"2018-2022","Côte d'Ivoire","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,25069.23,"X",,2018,77.7436891397,"E",,2018,1727.629024,"X",,2018,8.506353634E9,"X",,2018,1.0126668997E10,"X",,2018,2.0511043398E10,"X",,2018,3065.112091596,"E",,2018,84.14,"E",,2018,0.6,"I",,2018,0.242,"I",,2018,0.32,"I",,2018,1.162,"I",,2018,46.3516430301,"E",,2018,1.162,"I",,2018,5.0875656743,"E",,2018,25.7036575855,"E",,2018,0.2153793596,"E",,2018,40.6174674416,"E",,2018,62.2156105556,"E",,2018,81.9,"I",,2018,68.8,"I",,2018,93.1,"I",
"2018-2022","Ghana","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,29767.102,"X",,2018,124.7887230653,"E",,2018,2224.259481,"X",,2018,1.1974211207E10,"X",,2018,1.9430151022E10,"X",,2018,2.9416202184E10,"X",,2018,1017.9022465808,"E",,2018,56.2,"E",,2018,1.07,"I",,2018,0.095,"I",,2018,0.2996,"I",,2018,1.4646,"E",,2018,49.2019679981,"E",,2018,1.4486,"E",,2018,6.3147340889,"E",,2018,29.8965836769,"I",,2018,0.1947197992,"E",,2018,182.4692034854,"E",,2018,87.5955004571,"E",,2018,88.7,"I",,2018,84.0,"I",,2018,92.6,"I",
"2018-2022","Guinea","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,12414.293,"X",,2018,50.4933417392,"E",,2018,891.74539,"X",,2018,1.956801403E9,"X",,2018,3.199262811E9,"X",,2018,4.873922237E9,"X",,2018,18204.822457469,"E",,2018,226.0,"E",,2018,0.6,"",,2018,0.06,"",,2018,0.23,"",,2018,0.89,"E",,2018,71.6915574653,"E",,2018,0.89,"E",,2018,1.3692307692,"E",,2018,9.5185580231,"I",,2018,0.0350869252,"E",,2018,55.812868162,"E",,2018,22.1812712856,"E",,2018,76.8,"I",,2018,67.4,"I",,2018,92.7,"I",
"2018-2022","Guinea-Bissau","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,1874.303,"X",,2018,51.8766399114,"E",,2018,764.899506,"X",,2018,6.923877853E8,"X",,2018,1.726016706E8,"X",,2018,5.218705463E8,"X",,2018,8536.5066374007,"E",,2018,31.4,"E",,2018,0.144,"I",,2018,0.0119,"I",,2018,0.0341,"I",,2018,0.19,"E",,2018,101.3710163191,"E",,2018,0.175,"I",,2018,1.4957264957,"E",,2018,3.3094838008,"I",,2018,0.1158988872,"E",,2018,12.7842246417,"E",,2018,13.4891556938,"E",,2018,79.3,"I",,2018,60.3,"I",,2018,98.8,"I",
"2018-2022","Liberia","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,4818.973,"X",,2018,43.2699380444,"E",,2018,437.118973,"X",,2018,1.770087199E9,"X",,2018,2.17685503E8,"X",,2018,4.52791474E8,"X",,2018,41502.6189190103,"E",,2018,232.0,"E",,2018,0.0123,"I",,2018,0.0534,"I",,2018,0.0802,"I",,2018,0.1459,"E",,2018,30.2761605014,"E",,2018,0.1459,"E",,2018,0.2643115942,"E",,2018,4.6158143532,"E",,2018,0.0355936859,"E",,2018,4.0919053868,"E",,2018,5.667104291,"E",,2018,75.6,"I",,2018,62.6,"I",,2018,88.6,"I",
"2018-2022","Nigeria","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,195874.683,"X",,2018,212.0383677755,"E",,2018,2153.520403,"X",,2018,8.9424222226E10,"X",,2018,1.05072E11,"X",,2018,2.22914E11,"X",,2018,1128.2724067,"E",,2018,286.2,"E",,2018,5.51,"I",,2018,1.965,"I",,2018,5.0,"I",,2018,12.475,"I",,2018,63.688679971,"E",,2018,12.472,"E",,2018,9.6682170543,"E",,2018,31.2651523358,"I",,2018,0.227130815,"E",,2018,63.3832477012,"E",,2018,52.846640573,"E",,2018,68.5,"I",,2018,57.3,"I",,2018,80.8,"I",
"2018-2022","Sierra Leone","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,7650.15,"X",,2018,105.8112033195,"E",,2018,531.27842,"X",,2018,2.407538273E9,"X",,2018,2.110486809E8,"X",,2018,1.328364059E9,"X",,2018,20914.6225890996,"E",,2018,160.0,"E",,2018,0.0457,"I",,2018,0.0555,"I",,2018,0.111,"I",,2018,0.2122,"I",,2018,27.7380182088,"E",,2018,0.2122,"I",,2018,0.4957943925,"E",,2018,8.6385621234,"I",,2018,0.1187123927,"E",,2018,4.5147551463,"E",,2018,14.2081875281,"E",,2018,62.6,"I",,2018,47.8,"I",,2018,84.9,"I",
"2018-2022","Togo","Africa | Sub-Saharan Africa | Gulf of Guinea",2018,7889.093,"X",,2018,138.916939602,"E",,2018,646.414962,"X",,2018,1.252278819E9,"X",,2018,7.095364736E8,"X",,2018,2.55948148E9,"X",,2018,1457.7087632254,"E",,2018,14.7,"E",,2018,0.076,"I",,2018,0.0063,"I",,2018,0.1407,"I",,2018,0.223,"E",,2018,28.2668742782,"E",,2018,0.223,"E",,2018,3.391634981,"E",,2018,13.3411787089,"I",,2018,0.0103657321,"E",,2018,102.4709869796,"E",,2018,16.5510151989,"E",,2018,63.1,"I",,2018,44.2,"I",,2018,91.4,"I",
"2018-2022","Burkina Faso","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,19751.466,"X",,2018,72.0278097878,"E",,2018,820.166756,"X",,2018,3.506845933E9,"X",,2018,3.684515659E9,"X",,2018,7.253045979E9,"X",,2018,632.8644162413,"E",,2018,13.5,"E",,2018,0.4207,"I",,2018,0.0217,"I",,2018,0.3756,"I",,2018,0.818,"I",,2018,41.4146473988,"E",,2018,0.818,"E",,2018,7.8202676864,"E",,2018,11.8547358452,"I",,2018,0.0619121192,"E",,2018,150.1333819718,"E",,2018,17.0746355272,"E",,2018,82.3,"I",,2018,75.8,"I",,2018,97.5,"I",
"2018-2022","Cabo Verde","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,543.767,"X",,2018,134.9297766749,"E",,2018,3572.545968,"X",,2018,1.040669535E8,"X",,2018,3.261561167E8,"X",,2018,1.250576497E9,"X",,2018,551.7068891639,"E",,2018,0.3,"E",,2018,0.025,"I",,2018,4.0E-4,"I",,2018,0.0016,"I",,2018,0.027,"E",,2018,49.6536200248,"E",,2018,0.0253,"E",,2018,8.4333333333,"E",,2018,54.0364357281,"I",,2018,0.2555931489,"E",,2018,751.1933113611,"E",,2018,720.0728821191,"E",,2018,91.7,"I",,2018,87.3,"I",,2018,94.0,"I",
"2018-2022","Chad","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,15477.729,"X",,2018,12.0543060748,"E",,2018,741.697902,"X",,2018,3.689311582E9,"X",,2018,2.296801666E9,"X",,2018,6.052262807E9,"X",,2018,969.1344253411,"E",,2018,45.7,"E",,2018,0.6722,"I",,2018,0.1037,"I",,2018,0.1037,"I",,2018,0.8796,"I",,2018,56.830042702,"E",,2018,0.8796,"I",,2018,4.294921875,"E",,2018,9.5113105038,"I",,2018,0.0386911581,"E",,2018,22.1248477822,"E",,2018,58.3008081738,"E",,2018,50.8,"I",,2018,44.8,"I",,2018,71.8,"I",
"2018-2022","Djibouti","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,958.923,"X",,2018,41.332887931,"E",,2018,3009.407574,"X",,2018,3.695798754E7,"X",,2018,2.003911416E8,"X",,2018,2.482134835E9,"X",,2018,312.8509796928,"E",,2018,0.3,"E",,2018,0.003,"I",,2018,0.0,"I",,2018,0.016,"I",,2018,0.019,"I",,2018,19.8138953805,"E",,2018,0.019,"I",,2018,6.3333333333,"I",,,,"",,2018,12.5589540228,"E",,,,"",,2018,158.1509472612,"E",,2018,90.0,"I",,2018,64.7,"I",,2018,97.4,"I",
"2018-2022","Eritrea","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,3452.786,"X",,2018,28.3559547751,"E",,2018,1321.381592,"X",,2018,1.208377148E9,"X",,2018,1.526766395E9,"X",,2018,4.264153695E9,"X",,2018,810.9393399996,"E",,2018,7.315,"E",,2018,0.55,"I",,2018,0.001,"I",,2018,0.031,"I",,2018,0.582,"I",,2018,168.5595342428,"E",,2018,0.582,"I",,2018,11.1751152074,"E",,2018,10.9562076628,"I",,2018,0.0496746011,"E",,2018,1673.953805182,"E",,2018,150.8141298055,"E",,2018,57.8,"I",,2018,53.3,"I",,2018,73.2,"I",
"2018-2022","Gambia","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,2280.094,"X",,2018,201.7782300885,"E",,2018,754.620604,"X",,2018,3.243779094E8,"X",,2018,2.200671103E8,"X",,2018,9.568133252E8,"X",,2018,1315.7352284599,"E",,2018,8.0,"E",,2018,0.0392,"I",,2018,0.0212,"I",,2018,0.0412,"I",,2018,0.1016,"E",,2018,44.5595664038,"E",,2018,0.1016,"E",,2018,2.2096563723,"E",,2018,10.9902172822,"I",,2018,0.0596033321,"E",,2018,9.828273389,"E",,2018,21.9881123643,"E",,2018,90.2,"I",,2018,84.4,"I",,2018,94.2,"I",
"2018-2022","Mali","Africa | Sub-Saharan Africa | Sudano-Sahelian",2018,19077.749,"X",,2018,15.3829243906,"E",,2018,898.685409,"X",,2018,6.562451195E9,"X",,2018,3.307032813E9,"X",,2018,6.565252514E9,"X",,2018,3145.0251284887,"E",,2018,120.0,"E",,2018,5.075,"I",,2018,0.004,"I",,2018,0.107,"I",,2018,5.186,"I",,2018,271.8350052724,"E",,2018,5.186,"I",,2018,8.0030864198,"E",,2018,1.8586352906,"E",,2018,0.0474176205,"E",,2018,787.058949821,"E",,2018,58.4112373204,"E",,2018,77.0,"I",,2018,64.1,"I",,2018,96.5,"I",
